OBJECTID,DPTOMPIO,CODIGO_VER,NOM_DEP,NOMB_MPIO,NOMBRE_VER,VIGENCIA,FUENTE,DESCRIPCIO,SEUDONIMOS,AREA_HA,COD_DPTO,ShapeSTArea,ShapeSTLength
13766,20710,20710011,CESAR,SAN ALBERTO,EL RESGUARDO,2010,POT,NULL,NULL,359.37942345,20,3685914.4446943,8634.00691362133
13767,20710,20710029,CESAR,SAN ALBERTO,MONSERRATE,2010,POT,NULL,NULL,576.06706631,20,5906292.36084714,10969.129284334
13768,20710,20710003,CESAR,SAN ALBERTO,BUENAVISTA,2010,POT,NULL,NULL,652.2724637,20,6688234.75372036,10657.0820577441
13769,20710,20710002,CESAR,SAN ALBERTO,ALTO DEL OSO,2010,POT,NULL,NULL,1015.48161644,20,10413564.0484737,15435.1172779002
13770,20710,20710034,CESAR,SAN ALBERTO,SALITRE,2010,POT,NULL,NULL,181.97921327,20,1866347.73866013,5622.44010782318
13771,20710,20710008,CESAR,SAN ALBERTO,EL OSO,2010,POT,NULL,NULL,214.13507101,20,2196350.29415145,6613.27349672463
13772,23068,23068001,CÓRDOBA,AYAPEL,AGUAS CLARAS,2012,CATASTRO IGAC,NULL,NULL,6202.48074436,23,63717288.920103,70879.4414406165
13773,23001,23001015,CÓRDOBA,MONTERÍA,BUENOS AIRES,2011,POT,NULL,NULL,4822.87586835,23,49570156.4009104,76704.088477308
13774,23001,23001075,CÓRDOBA,MONTERÍA,LA POZA,2011,POT,NULL,NULL,2180.5079918,23,22414128.5693082,35768.148177772
13775,23001,23001066,CÓRDOBA,MONTERÍA,LA ESPERANZA,2011,POT,NULL,NULL,874.8865081,23,8994041.81074164,19151.3207368968
13776,20400,20400002,CESAR,LA JAGUA DE IBIRICO,ARACORAIMA,2000,PBOT MUNICIPIO DE LA JAGUA DE IBIRICO,NULL,NULL,896.09374432,20,9269752.31999185,14014.8260875961
13777,23001,23001034,CÓRDOBA,MONTERÍA,EL CUCARO,2011,POT,NULL,NULL,3113.00847991,23,31993082.3303221,44817.3624476974
13778,23001,23001085,CÓRDOBA,MONTERÍA,LAS PALOMAS,2011,POT,NULL,NULL,7080.67885745,23,72744207.5638724,64534.9220193387
13779,23168,23168002,CÓRDOBA,CHIMA,BURRO MUERTO,2006,POT,NULL,NULL,2519.62553252,23,25988627.5727301,23770.4593658263
13780,23168,23168007,CÓRDOBA,CHIMA,ISLA DE LOS PEREZ,2006,POT,NULL,NULL,3253.23782821,23,33560134.5206153,28891.502195402
13781,23168,23168010,CÓRDOBA,CHIMA,PUNTA VERDE,2006,POT,NULL,NULL,507.37380569,23,5230235.45707964,11099.6640144707
13782,23068,23068010,CÓRDOBA,AYAPEL,CAÑO PESCAO,2012,CATASTRO IGAC,NULL,NULL,2746.85773764,23,28222551.9106341,40879.5299006906
13783,23068,23068029,CÓRDOBA,AYAPEL,MONTEADERO,2012,CATASTRO IGAC,NULL,NULL,1190.83201957,23,12234758.7236563,26543.436080714
13784,23068,23068037,CÓRDOBA,AYAPEL,QUEBRADONA,2012,CATASTRO IGAC,NULL,NULL,17292.6708662,23,177552859.640531,119309.154607791
13785,23068,23068012,CÓRDOBA,AYAPEL,CECILIA,2012,CATASTRO IGAC,NULL,NULL,1872.87073432,23,19262056.7869886,31049.6813927241
13786,23068,23068015,CÓRDOBA,AYAPEL,EL TOTUMO,2012,CATASTRO IGAC,NULL,NULL,5327.48388047,23,54789337.2566629,53501.8417523048
13787,23068,23068041,CÓRDOBA,AYAPEL,SAN MATIAS,2012,CATASTRO IGAC,NULL,NULL,564.20255592,23,5801917.03548449,18218.8478165469
13788,23068,23068043,CÓRDOBA,AYAPEL,SINCELEJITO,2012,CATASTRO IGAC,NULL,NULL,4410.33976128,23,45342356.0194592,49023.5169541702
13789,23068,23068028,CÓRDOBA,AYAPEL,MARRALU,2012,CATASTRO IGAC,NULL,NULL,4278.23361252,23,43958968.6743002,59065.578675892
13790,23068,23068030,CÓRDOBA,AYAPEL,MORROCOY,2012,CATASTRO IGAC,NULL,NULL,664.47995553,23,6828633.43533042,20783.8034826007
13791,23068,23068033,CÓRDOBA,AYAPEL,PALOTAL,2012,CATASTRO IGAC,NULL,NULL,3946.63833817,23,40538383.2482232,44134.3689765639
13792,23068,23068021,CÓRDOBA,AYAPEL,LAS DELICIAS,2012,CATASTRO IGAC,NULL,NULL,333.00911318,23,3421160.88830883,11536.675290854
13793,23660,23660017,CÓRDOBA,SAHAGÚN,VEREDA EL JARDÍN,2011,POT,CAMBIO DE CODIGO Y NOMBRE DE MPIO,NULL,761.56880483,23,7848018.17587538,14565.9969207128
13794,23660,23660009,CÓRDOBA,SAHAGÚN,VEREDA EL ALGODÓN,2011,POT,CAMBIO DE CODIGO Y NOMBRE DE MPIO,NULL,638.65197952,23,6576983.94678349,14402.195998285
13795,23001,23001035,CÓRDOBA,MONTERÍA,EL CUCHARO,2011,POT,NULL,NULL,785.52395103,23,8071677.13971709,16584.8832908875
13796,23001,23001020,CÓRDOBA,MONTERÍA,CHISPA LA GLORIA,2011,POT,NULL,NULL,654.84301569,23,6737014.65595373,20620.1001205903
13797,23001,23001050,CÓRDOBA,MONTERÍA,EL TRONCO,2011,POT,NULL,NULL,6410.61770741,23,65924880.0776454,65472.0337109453
13798,23001,23001021,CÓRDOBA,MONTERÍA,CHISPAS LAS PALMITAS,2011,POT,NULL,NULL,370.0555077,23,3807380.44939621,17668.7999472085
13799,20400,20400024,CESAR,LA JAGUA DE IBIRICO,LAS MERCEDES,2000,PBOT MUNICIPIO DE LA JAGUA DE IBIRICO,NULL,NULL,1785.95610709,20,18484502.7292863,21340.940319718
13800,20443,20443011,CESAR,MANAURE BALCÓN DEL CESAR,SAN ANTONIO,2010,POT MANAURE,NULL,NULL,551.7538731,20,5736030.06554498,16539.0891875098
13801,20517,20517033,CESAR,PAILITAS,RAYITA ORIENTAL,2010,POT,NULL,NULL,2141.67002147,20,22095900.2056017,24435.4235121412
13802,20517,20517002,CESAR,PAILITAS,ANDES I,2010,POT,NULL,NULL,971.07820752,20,10019812.9218848,18059.5051518406
13803,20517,20517003,CESAR,PAILITAS,ANDES II,2010,POT,NULL,NULL,755.32462116,20,7792049.57212771,13636.4827172791
13804,20517,20517018,CESAR,PAILITAS,LA ESPERANZA,2010,POT,NULL,NULL,1714.68022141,20,17687787.0005415,25004.1005682048
13805,23182,23182029,CÓRDOBA,CHINÚ,SAN RAFAEL,2009,POT,NULL,NULL,2084.74572928,23,21510102.7392706,23375.8351468195
13806,23182,23182020,CÓRDOBA,CHINÚ,LOS ANGELES,2009,POT,NULL,NULL,1427.09618222,23,14714338.1815559,17248.3997785275
13807,23182,23182032,CÓRDOBA,CHINÚ,SANTA ROSA,2009,POT,NULL,NULL,2865.13238551,23,29544446.9012688,25446.514693801
13808,23001,23001142,CÓRDOBA,MONTERÍA,TENERIFE,2011,POT,NULL,NULL,3595.09071317,23,36975311.137524,46914.7513962348
13809,23001,23001137,CÓRDOBA,MONTERÍA,SANTA CLARA,2011,POT,NULL,NULL,2105.14250832,23,21682641.5735001,35869.3748726287
