area;rooms;title;property_id;stratum;offer;garages;baths;price;property_type;location;location_main;new;longitude;latitude;localidadgenerada
35;1;Apartamento en Arriendo;745d07d3-08c4-44ee-8ecc-28bfbb965ee1;Estrato 4;Arriendo;0;1;1100000;Apartamento;POINT (-74.02575442170408 4.744587371292132);San cristobal norte;FALSO;-74,02575442;4,744587371;Localidad Usaquén
90;3;Apartamento en Arriendo;1d28ea2f-7cdb-4a21-91c9-eda5d29aa37c;Estrato 4;Arriendo;1;3;1750000;Apartamento;POINT (-74.04411900000001 4.7245157);Cedritos;FALSO;-74,044119;4,7245157;Localidad Usaquén
70;2;Apartamento en Arriendo;c5695280-dbf1-43c5-92ca-111baaf2a021;Estrato 5;Arriendo;2;2;2430000;Apartamento;POINT (-74.03006315231325 4.708234695378678);NoIdentificado;FALSO;-74,03006315;4,708234695;Localidad Usaquén
367;3;Apartamento en Arriendo;2cec63c8-a5a9-4581-953b-57963964627b;Estrato 6;Arriendo;3;4;15000000;Apartamento;POINT (-74.04269635677338 4.667013378762229);NoIdentificado;FALSO;-74,04269636;4,667013379;Localidad Chapinero
45;2;Apartamento en Arriendo;c547a92a-7ba9-4f7c-8ecf-c55ff6f16c62;Estrato 3;Arriendo;0;2;1700000;Apartamento;POINT (-74.09105810000001 4.6260639);NoIdentificado;FALSO;-74,0910581;4,6260639;Localidad Teusaquillo
71;3;Apartamento en Arriendo;1e9fd0db-0dd1-4331-9cd8-324f50019e1c;Estrato 4;Arriendo;1;2;1800000;Apartamento;POINT (-74.029 4.722);NoIdentificado;FALSO;-74,029;4,722;Localidad Usaquén
183;3;Apartamento en Arriendo;84dd8fb6-68fd-491d-aafb-272eb7d166a6;Estrato 6;Arriendo;2;3;4450000;Apartamento;POINT (-74.082 4.716);Lindaraja;FALSO;-74,082;4,716;Localidad Suba
438;3;Apartamento en Arriendo;5c5fcfe1-a9d2-4973-876e-af12392a9404;Estrato 6;Arriendo;4;4;22000000;Apartamento;POINT (-74.02924346923828 4.692181587219238);Santa barbara oriental;FALSO;-74,02924347;4,692181587;Localidad Usaquén
41;3;Apartamento en Arriendo;3d6e34c3-d024-4fcc-8dba-0e6a078557b6;Estrato 2;Arriendo;0;1;802800;Apartamento;POINT (-74.1923221 4.6282622);NoIdentificado;FALSO;-74,1923221;4,6282622;Localidad Bosa
170;3;Apartamento en Arriendo;74ae823a-9b3f-4c09-b39d-12e5a011dd24;Estrato 6;Arriendo;2;4;9000000;Apartamento;POINT (-74.081599 4.7137924);Lindaraja;FALSO;-74,081599;4,7137924;Localidad Suba
172;3;Apartamento en Arriendo;c2175e18-dea3-4138-875d-5b2cba72a48e;Estrato 6;Arriendo;2;4;8200000;Apartamento;POINT (-74.0511916 4.668842100000001);La cabrera;FALSO;-74,0511916;4,6688421;Localidad Chapinero
85;3;Apartamento en Arriendo;e5f4088d-6387-4efb-bb02-00ab1ed84e92;Estrato 3;Arriendo;1;2;2020000;Apartamento;POINT (-74.12853799999999 4.7226533);Gran granada;FALSO;-74,128538;4,7226533;Localidad Engativá
124;2;Apartamento en Arriendo;1960fd85-d815-4b83-ba9d-d2b0355d449b;Estrato 3;Arriendo;1;2;4700000;Apartamento;POINT (-74.0742517 4.5866491);Las aguas;FALSO;-74,0742517;4,5866491;Localidad Santa Fé
